loan_id,reporting_date,product_type,origination_date,original_amount,outstanding_balance,credit_score_origination,credit_score_current,days_past_due,interest_rate,industry_sector,geography,pd_12m,pd_lifetime,lgd,ifrs9_stage,ecl_amount,ecl_rate
LN0000001,2024-12-31,Personal Loan,2020-10-22,9803.13,2606.87,636,635,0,9.9,N/A,Central,0.06,0.18,0.594,2,278.73,10.6921
LN0000002,2024-12-31,SME Loan,2020-10-02,51648.96,14119.29,742,773,0,7.53,Services,South,0.0065,0.0195,0.4795,1,44.01,0.3117
LN0000003,2024-12-31,Auto Loan,2022-06-09,14732.7,7412.58,717,735,0,6.57,N/A,North,0.009,0.027,0.3937,1,26.26,0.3543
LN0000004,2024-12-31,Personal Loan,2020-11-23,8803.55,2363.97,683,698,0,9.45,N/A,South,0.03,0.09,0.5623,1,39.88,1.687
LN0000005,2024-12-31,Mortgage,2023-07-10,339956.43,237032.7,608,615,0,5.37,N/A,North,0.035,0.105,0.2358,2,5868.69,2.4759
LN0000006,2024-12-31,Mortgage,2020-07-10,188819.02,50063.92,641,654,60,5.29,N/A,South,0.07,0.21,0.2266,2,2382.34,4.7586
LN0000007,2024-12-31,Mortgage,2022-03-16,238254.92,101082.73,486,487,0,5.99,N/A,West,0.07,0.21,0.263,2,5582.8,5.523
LN0000008,2024-12-31,Credit Card,2022-01-21,6205.65,2667.12,699,679,30,18.5,N/A,South,0.075,0.225,0.6093,2,365.64,13.7092
LN0000009,2024-12-31,Auto Loan,2022-10-10,36617.29,18710.04,682,718,0,7.01,N/A,East,0.009,0.027,0.2721,1,45.82,0.2449
LN0000010,2024-12-31,Auto Loan,2021-07-08,19306.3,5794.09,695,726,30,6.76,N/A,North,0.018,0.054,0.281,2,87.92,1.5174
LN0000011,2024-12-31,Mortgage,2021-12-24,441763.38,167458.24,720,717,0,4.28,N/A,South,0.007,0.021,0.2697,1,316.14,0.1888
LN0000012,2024-12-31,SME Loan,2022-07-16,217324.1,106606.92,711,717,0,7.98,Healthcare,North,0.013,0.039,0.4613,1,639.31,0.5997
LN0000013,2024-12-31,Credit Card,2020-10-04,2793.57,723.43,671,659,30,17.92,N/A,East,0.075,0.225,0.772,2,125.66,17.37
LN0000014,2024-12-31,Mortgage,2022-04-27,177740.8,83016.98,684,651,0,5.32,N/A,South,0.0175,0.0525,0.2636,1,382.96,0.4613
LN0000015,2024-12-31,Mortgage,2023-05-12,486769.19,328957.76,568,564,0,5.74,N/A,Central,0.07,0.21,0.2378,2,16427.49,4.9938
LN0000016,2024-12-31,Mortgage,2023-03-24,249340.13,163401.76,633,673,30,5.25,N/A,South,0.035,0.105,0.2025,2,3474.33,2.1263
LN0000017,2024-12-31,Mortgage,2019-11-21,88442.78,23487.08,684,640,0,5.3,N/A,East,0.035,0.105,0.1804,2,444.89,1.8942
LN0000018,2024-12-31,Personal Loan,2022-09-19,5768.64,3267.16,621,674,0,9.76,N/A,Central,0.03,0.09,0.5158,1,50.56,1.5475
